,name,rating,link,lat,long,avg price,description,primary_cuisine
28,Masuichi Higashi Ten,3.50,https://tabelog.com/en/kyoto/A2601/A260604/26002401/,34.97709903788388,135.74922808008802,5499.5,"Toji Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel)",Japanese
29,Onjaku Sakontaro Hon Ten,3.36,https://tabelog.com/en/kyoto/A2601/A260202/26002088/,35.01195616566733,135.77069141095157,6999.5,"Kyoto Shiyakusho Mae Sta., Japanese Cuisine, Seafood, Hot Pot",Japanese
30,Ryotei Yachiyo,3.46,https://tabelog.com/en/kyoto/A2601/A260301/26001833/,35.01106623787503,135.78919928040307,5499.5,"Keage Sta., Japanese Cuisine, Tofu dishes, Sukiyaki",Japanese
31,Gion Suetomo,3.87,https://tabelog.com/en/kyoto/A2601/A260301/26009394/,34.99888344201004,135.7732529112224,34999.5,"Kiyomizu Gojo Sta., Japanese Cuisine, Sushi",Japanese
32,CICON by NOHGA HOTEL,3.57,https://tabelog.com/en/kyoto/A2601/A260301/26037084/,34.99519857287268,135.77408328969543,5499.5,"Kiyomizu Gojo Sta., Italian, Pasta, Dining bar",Italian
33,Gion Nikuryori Oka,3.71,https://tabelog.com/en/kyoto/A2601/A260301/26036578/,35.003507437875015,135.77406958033734,34999.5,"Gion Shijo Sta., Beef dishes, Japanese Cuisine",Japanese
34,Ishibe Koji Mamecha Kyoto,3.45,https://tabelog.com/en/kyoto/A2601/A260301/26001963/,35.00079313787837,135.77916968030635,8999.5,"Gion Shijo Sta., Japanese Cuisine, Seafood, Regional Cuisine",Japanese
35,Private rooms Izakaya Hannari Tei Kyoto Ekimae Ten,3.57,https://tabelog.com/en/kyoto/A2601/A260101/26041666/,34.98390988116352,135.7581121334331,3499.5,"Kyoto Sta., Izakaya (Tavern), Regional Cuisine, Seafood",Japanese
36,Gion Tsuzaki,3.19,https://tabelog.com/en/kyoto/A2601/A260301/26016900/,35.005524857105414,135.7772915160414,6999.5,"Higashiyama Sta., Sushi, Japanese Cuisine, Seafood",Japanese
37,Gion Kaburaya,3.41,https://tabelog.com/en/kyoto/A2601/A260301/26001441/,35.00337492403864,135.77428317441866,5499.5,"Gion Shijo Sta., Japanese Cuisine, Izakaya (Tavern)",Japanese
38,taishuusukiyakihokuto Shijo Karasuma Ten,3.31,https://tabelog.com/en/kyoto/A2601/A260201/26041985/,35.004681772091416,135.76086450644578,3499.5,"Karasuma Sta., Sukiyaki, Izakaya (Tavern), Hot Pot",Japanese
39,Shun Yasai × Kyo Izakaya Hitokuchi,3.05,https://tabelog.com/en/kyoto/A2601/A260201/26036216/,35.00425670415274,135.77027485559927,3499.5,"Kyoto Kawaramachi Sta., Izakaya (Tavern), Japanese Cuisine, Regional Cuisine",Japanese
